host,ip,port,protocol,title,domain,country,city,link,org
114.85.57.59:8889,114.85.57.59,8889,http,,,CN,Shanghai,http://114.85.57.59:8889,China Telecom Group
114.85.57.59:8889,114.85.57.59,8889,http,,,CN,Shanghai,http://114.85.57.59:8889,China Telecom Group
222.70.220.168:8888,222.70.220.168,8888,http,,,CN,Shanghai,http://222.70.220.168:8888,China Telecom Group
222.70.220.168:8888,222.70.220.168,8888,http,,,CN,Shanghai,http://222.70.220.168:8888,China Telecom Group
218.80.120.111:8880,218.80.120.111,8880,http,,,CN,Shanghai,http://218.80.120.111:8880,China Telecom Group
116.231.104.177:4022,116.231.104.177,4022,http,,,CN,Shanghai,http://116.231.104.177:4022,China Telecom Group
116.231.104.177:4022,116.231.104.177,4022,http,,,CN,Shanghai,http://116.231.104.177:4022,China Telecom Group
218.80.120.111:8880,218.80.120.111,8880,http,,,CN,Shanghai,http://218.80.120.111:8880,China Telecom Group
116.226.103.106:4022,116.226.103.106,4022,http,,,CN,Shanghai,http://116.226.103.106:4022,China Telecom Group
116.226.103.106:4022,116.226.103.106,4022,http,,,CN,Shanghai,http://116.226.103.106:4022,China Telecom Group
180.165.2.144:9898,180.165.2.144,9898,http,,,CN,Shanghai,http://180.165.2.144:9898,China Telecom Group
222.67.29.26:1688,222.67.29.26,1688,http,,,CN,Shanghai,http://222.67.29.26:1688,China Telecom Group
222.70.190.37:9898,222.70.190.37,9898,http,,,CN,Shanghai,http://222.70.190.37:9898,China Telecom Group
222.70.190.37:9898,222.70.190.37,9898,http,,,CN,Shanghai,http://222.70.190.37:9898,China Telecom Group
180.165.2.144:9898,180.165.2.144,9898,http,,,CN,Shanghai,http://180.165.2.144:9898,China Telecom Group
222.71.202.30:4000,222.71.202.30,4000,http,,,CN,Shanghai,http://222.71.202.30:4000,China Telecom Group
139.226.191.140:4000,139.226.191.140,4000,http,,,CN,Shanghai,http://139.226.191.140:4000,China Unicom Shanghai network
139.226.191.140:4000,139.226.191.140,4000,http,,,CN,Shanghai,http://139.226.191.140:4000,China Unicom Shanghai network
218.1.171.71:4022,218.1.171.71,4022,http,,,CN,Shanghai,http://218.1.171.71:4022,China Telecom Group
58.32.35.201:85,58.32.35.201,85,http,,,CN,Shanghai,http://58.32.35.201:85,China Telecom Group
180.165.18.217:9999,180.165.18.217,9999,http,,,CN,Shanghai,http://180.165.18.217:9999,China Telecom Group
116.227.39.93:20000,116.227.39.93,20000,http,,,CN,Shanghai,http://116.227.39.93:20000,China Telecom Group
222.70.218.148:9999,222.70.218.148,9999,http,,,CN,Shanghai,http://222.70.218.148:9999,China Telecom Group
222.70.218.148:8888,222.70.218.148,8888,http,,,CN,Shanghai,http://222.70.218.148:8888,China Telecom Group
58.32.18.13:34567,58.32.18.13,34567,http,,,CN,Shanghai,http://58.32.18.13:34567,China Telecom Group
58.32.18.13:34567,58.32.18.13,34567,http,,,CN,Shanghai,http://58.32.18.13:34567,China Telecom Group
61.172.6.29:8888,61.172.6.29,8888,http,,,CN,Shanghai,http://61.172.6.29:8888,China Telecom Group
222.67.92.225:4022,222.67.92.225,4022,http,,,CN,Shanghai,http://222.67.92.225:4022,China Telecom Group
222.67.92.225:4022,222.67.92.225,4022,http,,,CN,Shanghai,http://222.67.92.225:4022,China Telecom Group
116.227.41.184:8888,116.227.41.184,8888,http,,,CN,Shanghai,http://116.227.41.184:8888,China Telecom Group
139.227.17.97:4022,139.227.17.97,4022,http,,,CN,Shanghai,http://139.227.17.97:4022,China Unicom Shanghai network
139.227.17.97:4022,139.227.17.97,4022,http,,,CN,Shanghai,http://139.227.17.97:4022,China Unicom Shanghai network
222.70.218.148:9999,222.70.218.148,9999,http,,,CN,Shanghai,http://222.70.218.148:9999,China Telecom Group
116.227.41.184:8888,116.227.41.184,8888,http,,,CN,Shanghai,http://116.227.41.184:8888,China Telecom Group
116.237.81.116:8888,116.237.81.116,8888,http,,,CN,Shanghai,http://116.237.81.116:8888,China Telecom Group
101.229.187.18:4022,101.229.187.18,4022,http,,,CN,Shanghai,http://101.229.187.18:4022,China Telecom Group
101.229.187.18:4022,101.229.187.18,4022,http,,,CN,Shanghai,http://101.229.187.18:4022,China Telecom Group
https://nas.caacly.cc:5008,218.78.181.83,5008,https,flare 网站,caacly.cc,CN,Shanghai,https://nas.caacly.cc:5008,China Telecom Group
222.68.112.182:8686,222.68.112.182,8686,http,,,CN,Shanghai,http://222.68.112.182:8686,China Telecom Group
1v5q209608.iok.la:8686,222.68.112.182,8686,http,,iok.la,CN,Shanghai,http://1v5q209608.iok.la:8686,China Telecom Group
222.70.218.148:8888,222.70.218.148,8888,http,,,CN,Shanghai,http://222.70.218.148:8888,China Telecom Group
114.95.209.187:3333,114.95.209.187,3333,http,,,CN,Shanghai,http://114.95.209.187:3333,China Telecom Group
222.64.72.151:8899,222.64.72.151,8899,http,,,CN,Shanghai,http://222.64.72.151:8899,China Telecom Group
58.41.153.246:8888,58.41.153.246,8888,http,,,CN,Shanghai,http://58.41.153.246:8888,China Telecom Group
114.95.209.187:3333,114.95.209.187,3333,http,,,CN,Shanghai,http://114.95.209.187:3333,China Telecom Group
139.227.17.92:4022,139.227.17.92,4022,http,,,CN,Shanghai,http://139.227.17.92:4022,China Unicom Shanghai network
139.227.17.92:4022,139.227.17.92,4022,http,,,CN,Shanghai,http://139.227.17.92:4022,China Unicom Shanghai network
222.64.217.127:8888,222.64.217.127,8888,http,,,CN,Shanghai,http://222.64.217.127:8888,China Telecom Group
101.229.228.104:4022,101.229.228.104,4022,http,,,CN,Shanghai,http://101.229.228.104:4022,China Telecom Group
222.70.40.11:34567,222.70.40.11,34567,http,,,CN,Shanghai,http://222.70.40.11:34567,China Telecom Group
222.70.40.11:34567,222.70.40.11,34567,http,,,CN,Shanghai,http://222.70.40.11:34567,China Telecom Group
58.38.48.108:9200,58.38.48.108,9200,http,,,CN,Shanghai,http://58.38.48.108:9200,China Telecom Group
218.80.79.165:8880,218.80.79.165,8880,http,,,CN,Shanghai,http://218.80.79.165:8880,China Telecom Group
222.70.80.152:4022,222.70.80.152,4022,http,,,CN,Shanghai,http://222.70.80.152:4022,China Telecom Group
222.70.80.152:4022,222.70.80.152,4022,http,,,CN,Shanghai,http://222.70.80.152:4022,China Telecom Group
58.41.153.246:8888,58.41.153.246,8888,http,,,CN,Shanghai,http://58.41.153.246:8888,China Telecom Group
180.158.77.74:4022,180.158.77.74,4022,http,,,CN,Shanghai,http://180.158.77.74:4022,China Telecom Group
180.158.77.74:4022,180.158.77.74,4022,http,,,CN,Shanghai,http://180.158.77.74:4022,China Telecom Group
222.67.97.141:4022,222.67.97.141,4022,http,,,CN,Shanghai,http://222.67.97.141:4022,China Telecom Group
222.67.97.141:4022,222.67.97.141,4022,http,,,CN,Shanghai,http://222.67.97.141:4022,China Telecom Group
222.64.217.127:8888,222.64.217.127,8888,http,,,CN,Shanghai,http://222.64.217.127:8888,China Telecom Group
116.226.12.34:4022,116.226.12.34,4022,http,,,CN,Shanghai,http://116.226.12.34:4022,China Telecom Group
116.226.12.34:4022,116.226.12.34,4022,http,,,CN,Shanghai,http://116.226.12.34:4022,China Telecom Group
222.64.72.151:8899,222.64.72.151,8899,http,,,CN,Shanghai,http://222.64.72.151:8899,China Telecom Group
180.158.195.25:3001,180.158.195.25,3001,http,,,CN,Shanghai,http://180.158.195.25:3001,China Telecom Group
180.158.195.25:3001,180.158.195.25,3001,http,,,CN,Shanghai,http://180.158.195.25:3001,China Telecom Group
58.38.18.167:9200,58.38.18.167,9200,http,,,CN,Shanghai,http://58.38.18.167:9200,China Telecom Group
58.32.26.197:85,58.32.26.197,85,http,,,CN,Shanghai,http://58.32.26.197:85,China Telecom Group
180.158.106.28:4022,180.158.106.28,4022,http,,,CN,Shanghai,http://180.158.106.28:4022,China Telecom Group
180.165.16.234:9999,180.165.16.234,9999,http,,,CN,Shanghai,http://180.165.16.234:9999,China Telecom Group
180.165.0.40:4022,180.165.0.40,4022,http,,,CN,Shanghai,http://180.165.0.40:4022,China Telecom Group
180.165.0.40:4022,180.165.0.40,4022,http,,,CN,Shanghai,http://180.165.0.40:4022,China Telecom Group
222.70.206.228:4022,222.70.206.228,4022,http,,,CN,Shanghai,http://222.70.206.228:4022,China Telecom Group
114.89.204.29:4022,114.89.204.29,4022,http,,,CN,Shanghai,http://114.89.204.29:4022,China Telecom Group
222.64.56.207:5555,222.64.56.207,5555,http,,,CN,Shanghai,http://222.64.56.207:5555,China Telecom Group
222.64.56.207:5555,222.64.56.207,5555,http,,,CN,Shanghai,http://222.64.56.207:5555,China Telecom Group
222.70.46.36:12345,222.70.46.36,12345,http,,,CN,Shanghai,http://222.70.46.36:12345,China Telecom Group
222.68.112.182:8686,222.68.112.182,8686,http,,,CN,Shanghai,http://222.68.112.182:8686,China Telecom Group
218.1.237.199:4022,218.1.237.199,4022,http,,,CN,Shanghai,http://218.1.237.199:4022,China Telecom Group
218.1.237.199:4022,218.1.237.199,4022,http,,,CN,Shanghai,http://218.1.237.199:4022,China Telecom Group
116.226.36.47:8088,116.226.36.47,8088,http,,,CN,Shanghai,http://116.226.36.47:8088,China Telecom Group
222.70.206.228:4022,222.70.206.228,4022,http,,,CN,Shanghai,http://222.70.206.228:4022,China Telecom Group
derp.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://derp.jiushizhu.dynv6.net:8088,China Telecom Group
trilium.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://trilium.jiushizhu.dynv6.net:8088,China Telecom Group
npm.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://npm.jiushizhu.dynv6.net:8088,China Telecom Group
qb.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://qb.jiushizhu.dynv6.net:8088,China Telecom Group
hs.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://hs.jiushizhu.dynv6.net:8088,China Telecom Group
hsderp.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://hsderp.jiushizhu.dynv6.net:8088,China Telecom Group
yyy.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://yyy.jiushizhu.dynv6.net:8088,China Telecom Group
bitwarden.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://bitwarden.jiushizhu.dynv6.net:8088,China Telecom Group
portainer.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://portainer.jiushizhu.dynv6.net:8088,China Telecom Group
116.226.36.47:8088,116.226.36.47,8088,http,,,CN,Shanghai,http://116.226.36.47:8088,China Telecom Group
adg.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://adg.jiushizhu.dynv6.net:8088,China Telecom Group
pve.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://pve.jiushizhu.dynv6.net:8088,China Telecom Group
tsderp.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://tsderp.jiushizhu.dynv6.net:8088,China Telecom Group
xunlei.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://xunlei.jiushizhu.dynv6.net:8088,China Telecom Group
onenav.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://onenav.jiushizhu.dynv6.net:8088,China Telecom Group
pdf.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://pdf.jiushizhu.dynv6.net:8088,China Telecom Group
ikuai.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://ikuai.jiushizhu.dynv6.net:8088,China Telecom Group
tr.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://tr.jiushizhu.dynv6.net:8088,China Telecom Group
dsm.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://dsm.jiushizhu.dynv6.net:8088,China Telecom Group
emby.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://emby.jiushizhu.dynv6.net:8088,China Telecom Group
oc.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://oc.jiushizhu.dynv6.net:8088,China Telecom Group
tvbox.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://tvbox.jiushizhu.dynv6.net:8088,China Telecom Group
qd.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://qd.jiushizhu.dynv6.net:8088,China Telecom Group
taosync.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://taosync.jiushizhu.dynv6.net:8088,China Telecom Group
tv.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://tv.jiushizhu.dynv6.net:8088,China Telecom Group
tv-alist.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://tv-alist.jiushizhu.dynv6.net:8088,China Telecom Group
qiandao.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://qiandao.jiushizhu.dynv6.net:8088,China Telecom Group
nastools.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://nastools.jiushizhu.dynv6.net:8088,China Telecom Group
xiaoya.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://xiaoya.jiushizhu.dynv6.net:8088,China Telecom Group
pwd.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://pwd.jiushizhu.dynv6.net:8088,China Telecom Group
crash.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://crash.jiushizhu.dynv6.net:8088,China Telecom Group
alist.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://alist.jiushizhu.dynv6.net:8088,China Telecom Group
waf.jiushizhu.dynv6.net:8088,116.226.36.47,8088,http,,jiushizhu.dynv6.net,CN,Shanghai,http://waf.jiushizhu.dynv6.net:8088,China Telecom Group
222.70.46.36:12345,222.70.46.36,12345,http,,,CN,Shanghai,http://222.70.46.36:12345,China Telecom Group
116.237.81.116:8888,116.237.81.116,8888,http,,,CN,Shanghai,http://116.237.81.116:8888,China Telecom Group
222.64.217.97:8888,222.64.217.97,8888,http,,,CN,Shanghai,http://222.64.217.97:8888,China Telecom Group
58.41.30.214:8880,58.41.30.214,8880,http,,,CN,Shanghai,http://58.41.30.214:8880,China Telecom Group
58.38.0.140:8888,58.38.0.140,8888,http,,,CN,Shanghai,http://58.38.0.140:8888,China Telecom Group
222.64.217.97:8888,222.64.217.97,8888,http,,,CN,Shanghai,http://222.64.217.97:8888,China Telecom Group
180.156.182.124:8888,180.156.182.124,8888,http,,,CN,Shanghai,http://180.156.182.124:8888,China Telecom Group
180.158.210.185:3001,180.158.210.185,3001,http,,,CN,Shanghai,http://180.158.210.185:3001,China Telecom Group
58.41.30.214:8880,58.41.30.214,8880,http,,,CN,Shanghai,http://58.41.30.214:8880,China Telecom Group
101.229.186.96:4022,101.229.186.96,4022,http,,,CN,Shanghai,http://101.229.186.96:4022,China Telecom Group
101.229.186.96:4022,101.229.186.96,4022,http,,,CN,Shanghai,http://101.229.186.96:4022,China Telecom Group
58.38.0.140:8888,58.38.0.140,8888,http,,,CN,Shanghai,http://58.38.0.140:8888,China Telecom Group
58.38.102.145:4022,58.38.102.145,4022,http,,,CN,Shanghai,http://58.38.102.145:4022,China Telecom Group
58.38.102.145:4022,58.38.102.145,4022,http,,,CN,Shanghai,http://58.38.102.145:4022,China Telecom Group
58.41.26.222:8880,58.41.26.222,8880,http,,,CN,Shanghai,http://58.41.26.222:8880,China Telecom Group
114.89.204.29:4022,114.89.204.29,4022,http,,,CN,Shanghai,http://114.89.204.29:4022,China Telecom Group
58.32.25.114:4022,58.32.25.114,4022,http,,,CN,Shanghai,http://58.32.25.114:4022,China Telecom Group
116.237.205.103:4022,116.237.205.103,4022,http,,,CN,Shanghai,http://116.237.205.103:4022,China Telecom Group
116.237.205.103:4022,116.237.205.103,4022,http,,,CN,Shanghai,http://116.237.205.103:4022,China Telecom Group
74e22fb9.jikeiot.cloud:8888,116.226.47.185,8888,http,,jikeiot.cloud,CN,Shanghai,http://74e22fb9.jikeiot.cloud:8888,China Telecom Group
116.226.47.185:8888,116.226.47.185,8888,http,,,CN,Shanghai,http://116.226.47.185:8888,China Telecom Group
116.226.47.185:8888,116.226.47.185,8888,http,,,CN,Shanghai,http://116.226.47.185:8888,China Telecom Group
